Country,Year,gdp_growth_mean5,gdp_growth_std5,gdp_growth_trend5,inflation_mean5,inflation_std5,inflation_trend5,domestic_credit_mean5,domestic_credit_std5,domestic_credit_trend5,current_account_mean5,current_account_std5,current_account_trend5,total_reserves_mean5,total_reserves_std5,total_reserves_trend5,target_crisis_next_3y
Algeria,1964,-0.6080663880395150,7.876015864647900,3.809763067410760,-0.0856370742865063,-0.08314709664755060,-0.06159596861596860,-1.0600970184261900,-0.6438891955339790,-0.17832342073116300,0.927124301064767,-0.8052171314132260,-0.026704753644493300,-0.21968150691405100,-0.19939853749804900,-0.12129015839946900,0
Algeria,1965,-0.45137622023576600,7.906364075661240,4.809003501937660,-0.08563707428651440,-0.08314709664754270,-0.06159596861598580,-1.06011062677941,-0.6439019890834270,-0.17815145105596900,0.9270861446293700,-0.8052063947217340,-0.026730690280507200,-0.21977782573453900,-0.19933510112199800,-0.12142853559102300,0
Algeria,1966,0.18057435454920300,7.316863077483970,0.14402604094747300,-0.08563707428651830,-0.08314709664759550,-0.06159596861577190,-1.0600973817515400,-0.6439361686129330,-0.1786179650125880,0.9270688979749950,-0.8052792226498180,-0.02638441587675530,-0.2198234518036130,-0.1997611293868320,-0.11970643202452200,0
Algeria,1967,2.2729373573686500,5.041519380296840,-4.412467387684860,-0.08563707428649260,-0.0831470966473674,-0.06159596861555780,-1.059963145073320,-0.6443016131814550,-0.1790605152521510,0.9271930710012960,-0.8049374288307960,-0.026037413034934500,-0.219519693153097,-0.19792086409566900,-0.11798241484963400,0
Algeria,1968,0.5841763231231530,1.4251407653490800,0.989390575227034,-0.08563707428646310,-0.08314709664719310,-0.061595968615299600,-1.0599535793003100,-0.6441868685717310,-0.17724767615223900,0.9273293339014450,-0.8046660567733520,-0.025586298170434600,-0.21917151676607400,-0.19651470359379600,-0.11590475963994900,0
Algeria,1969,0.7704386300794100,1.487348589993690,1.4959051402838400,-0.08563707428644150,-0.08314709664724930,-0.06159596861542840,-1.059896393171810,-0.6442673867778120,-0.17746266304459500,0.9274311158673050,-0.8047513875900110,-0.02580175416032700,-0.21891683779299900,-0.1969685382799860,-0.1169416555273590,0
Algeria,1970,0.9611452958389590,1.5439412770289800,1.9559389255470500,-0.08563707428642460,-0.0831470966473938,-0.061595968615769400,-1.059850230386280,-0.6445223304482260,-0.17822144922482600,0.927510480810754,-0.8049710437345650,-0.02637474615013480,-0.21871842008343500,-0.19813421552757900,-0.11968640159274900,0
Algeria,1971,0.4924678142001350,2.7957188559196300,-3.173560977110060,-0.0856370742863982,-0.08314709664745460,-0.06159596861583770,-1.0598047814890100,-0.6451078948194240,-0.17949787674102000,0.9276341273167060,-0.8050758377173700,-0.026505161996029800,-0.21840644305285400,-0.19862365229532500,-0.12023549916787400,0
Algeria,1972,1.7829429438413600,4.713494759748740,1.0136902335507600,-0.08563707428637850,-0.08314709664733650,-0.06159596861564320,-1.0597129553762600,-0.6440491908314770,-0.17810692374044700,0.9277288326044320,-0.8048842167116770,-0.02616503434981840,-0.21817363259156200,-0.19767182076542500,-0.11867065969164800,0
Algeria,1973,1.2814981313746500,4.759029607275770,0.7073714848312290,-0.08563707428627900,-0.08314709664607130,-0.06159596861437630,-1.059497392347260,-0.6416368249356000,-0.1749856647816640,0.9281959392487400,-0.8029528670283850,-0.024031961481217800,-0.2169997858954810,-0.1874654979635300,-0.10847313115974300,0
Algeria,1974,1.214115509254630,4.7545128308486700,0.9342668373849360,-0.08563707428607240,-0.0831470966446516,-0.061595968612796000,-1.059015478021180,-0.6381091485374350,-0.1709614527107020,0.9291671595059280,-0.8007775377306990,-0.021369602402239100,-0.2145627259595150,-0.1760125835656880,-0.0957540588149009,0
Algeria,1975,0.9399989428527480,4.75203837461182,0.9648044763045690,-0.0856370742859179,-0.08314709664486430,-0.061595968613193400,-1.0586630240782800,-0.6386182903709680,-0.1719544115897870,0.9298930605836580,-0.8011031627207620,-0.022038745096863100,-0.21274040617231300,-0.17772869414625700,-0.09895206560622200,0
Algeria,1976,2.3559575779725000,2.953781920260510,-2.6842068655027500,-0.08563707428572120,-0.08314709664505940,-0.061595968613459900,-1.0581520096685700,-0.6398415720058650,-0.17341078531988700,0.9308198091146010,-0.8014102374097800,-0.022498666520247200,-0.2104204517780750,-0.1793020198466770,-0.10109712782034800,0
Algeria,1977,0.7642896057728610,-0.4102511082079860,0.3004671283360510,-0.085637074285526,-0.08314709664611850,-0.061595968614587600,-1.0577505593144100,-0.6417296194226200,-0.17560488082979500,0.9317353219464170,-0.8030222362879860,-0.02438910588858790,-0.20811748506892700,-0.18784578666313300,-0.11017390291004500,0
Algeria,1978,1.1521758913404800,-0.418317651760976,0.2909471715452170,-0.08563707428535550,-0.08314709664608800,-0.06159596861455930,-1.0573372168498200,-0.6416552618299360,-0.17553583254659100,0.9325374488337720,-0.8029755396715860,-0.024341530836965200,-0.2061063792109870,-0.1875997068624080,-0.10994642320730400,0
Algeria,1979,1.1509485973287600,-0.4187215807289780,0.4408217260171950,-0.08563707428505100,-0.0831470966428563,-0.061595968611203000,-1.0566233975949900,-0.6336246430159930,-0.16706017507105300,0.9339692015511410,-0.7980265618996530,-0.01868785196356110,-0.2025140815356700,-0.161529902528884,-0.08293191590284860,0
Algeria,1980,0.8454215190302380,0.23551574758222400,-0.9305593714885420,-0.08563707429092910,-0.08314709655420740,-0.06159596868322050,-1.0643265016026300,-0.5118448607495550,-0.2725409282704110,0.8390040937795390,-0.322777997278688,-0.4205617405679800,-0.19641215927909800,-0.14434250994201800,-0.06381926365352130,0
