Country,Year,gdp_growth,inflation,domestic_credit,current_account,total_reserves,External_Debt_Crisis,gdp_growth_mean5,gdp_growth_std5,gdp_growth_trend5,inflation_mean5,inflation_std5,inflation_trend5,domestic_credit_mean5,domestic_credit_std5,domestic_credit_trend5,current_account_mean5,current_account_std5,current_account_trend5,total_reserves_mean5,total_reserves_std5,total_reserves_trend5,target_crisis_next_3y
Algeria,1964,5.839413008,45.5955899804636,4.624736495257295,2.9298193540089708,194924560.0,0,2.17750155069563,21.075053249115225,5.154829788504369,45.62393758044637,0.03335477633852011,-0.01387982805538492,4.625064245892382,0.01657295980653456,0.002436083415011762,2.930339800265242,0.0006246437086374091,-0.0002457710668656645,239078252.0,51944424.92748447,-21626788.999999978,0
Algeria,1965,6.206898211,45.58871957773663,4.624255413257928,2.929691816562873,184224560.0,0,2.6139113697999994,21.145345555122052,6.514913389999999,45.613461220120605,0.03481057853412492,-0.015774288921595908,4.624234930934003,0.0164675958932694,0.003275639535352654,2.9301449904401458,0.0006489470181723175,-0.0002775481804058596,222762604.0,54213968.071234465,-24580162.99999998,0
Algeria,1966,-4.804970943,45.645765028179234,4.622101407741212,2.9307293278566124,273085970.0,0,4.3740054452,19.77994762319811,0.16533112050000057,45.60850090791005,0.025032952578201796,0.007818083423551012,4.625042104260837,0.016186103333535186,0.0009981179487059794,2.930056936677066,0.00048409551989245513,0.00014670117244693374,215033908.0,38972089.70916071,12174564.000000011,0
Algeria,1967,9.452962563,45.75488809785794,4.645262840859566,2.9328091374128076,442988000.0,0,10.201606323799998,14.509813071837693,-6.0365916385,45.641550758143865,0.06730260746076291,0.03143690304677228,4.633222703591642,0.013176409270359258,-0.001162412748136932,2.9306909090406768,0.001257771562183634,0.0005718429949018609,266488226.0,104810678.45350291,48970133.000000015,0
Algeria,1968,10.79623857,45.81211916638623,4.652672128896411,2.933883398831726,532109700.0,0,5.4981082818,6.133583180503776,1.3159715476,45.67941637012473,0.09961325011074212,0.05992268919666017,4.633805657202482,0.014121412152916383,0.007687869487987117,2.9313866069345975,0.0018720426452366505,0.001124541049544844,325466558.0,155118437.57713112,93313372.00000001,0
Algeria,1969,8.433280282,45.734106501955175,4.642161569039969,2.9324176217403597,410627600.0,0,6.0168817366,6.277668492287588,2.005397365499999,45.70711967442304,0.08918797559269,0.045712798664409325,4.6372906719590175,0.013458287871713291,0.006638303271928523,2.9319062604808757,0.0016788899173528543,0.0008605681330089699,368607166.0,138881737.6809553,71182981.0,0
Algeria,1970,8.86265711,45.696637292253385,4.638321585688034,2.9317178274560867,352276530.0,0,6.548033516400001,6.40874806310921,2.6315573825000014,45.72870321732639,0.06240999675650012,0.008096293224555125,4.640103906445039,0.011358646729444371,0.002933908407405203,2.9323114626595186,0.0011816816967064247,0.0001585483526501601,402217560.0,97177671.81529382,12602072.000000041,0
Algeria,1971,-11.33171917,45.81543069424168,4.635950052668335,2.9338857487784944,537318203.6,0,5.242683871000001,9.308106202842316,-4.350294492599997,45.762636350538884,0.051150892381231855,0.0005603318634678548,4.642873635430464,0.006536110664047922,-0.003297611959083463,2.932942746843895,0.0009444726269112456,-1.2348644262262983e-06,455064006.71999997,79667247.51791185,882723.7200000118,0
Algeria,1972,27.42396948,45.88153395117857,4.673242996745854,2.9352267532547702,640169273.5,0,8.836885254400002,13.750044827337067,1.3490462368,45.787965521203006,0.07303154241694486,0.022015376187123972,4.648469666607721,0.015255285558527211,0.003493021932725463,2.9334262700122875,0.0013782212000365678,0.0004154835884222907,494500261.41999996,113720622.83937119,34280975.06000001,0
Algeria,1973,3.813176296,46.45053052459719,4.7183559194269336,2.945807594938187,1526311529.0,0,7.440272799600001,13.855512310574793,0.9321104398000002,45.9156477928452,0.3075018688722696,0.16177447042092605,4.661606424713826,0.03512282208913579,0.01873101118317523,2.9358111092335792,0.00574997661540885,0.003028887219433883,693340627.22,478869002.68060064,251926060.15,0
Algeria,1974,7.494917705,47.05955261725388,4.789004744304314,2.9572107197414157,2474721194.0,0,7.2526002842000015,13.84505058580827,1.2409416656,46.18073701590494,0.5706200845429346,0.3360930480356539,4.690975059766695,0.06417572812983982,0.03837721839911572,2.940769728833791,0.010673998256668423,0.006290763073035035,1106159346.02,888616295.4133272,523388265.3400001,0
Algeria,1975,5.045341613,46.6877394369254,4.745717139852562,2.950248471175738,1895709477.0,0,6.489137184800001,13.839319268238185,1.2825069791000014,46.378957444839344,0.531194725073014,0.2922636151442763,4.7124541705995995,0.05998258562427653,0.033529592192691325,2.9444758575777206,0.009936921576044614,0.005470941128113587,1414845935.42,827219550.4459037,455133446.7300001,0
Algeria,1976,8.386756484,47.07721732660868,4.791660257713868,2.95754358229252,2502228025.0,0,10.4328323156,9.674210724856543,-3.684226067499999,46.631314771312745,0.4950390657581948,0.26285756631884627,4.743596211608707,0.04990799759843684,0.026419574236166178,2.949207424280526,0.009241834898447588,0.004907453431305317,1807827899.7,770931174.9337727,409351545.1000002,0
Algeria,1977,5.258585986,47.13401883801622,4.795568151913784,2.9585977643024304,2590691196.0,0,5.9997556168,1.8824618487783504,0.37826581590000047,46.88181174868028,0.2987687770646485,0.13846413361928878,4.768061242642292,0.03435859396608987,0.015707997838325813,2.953881626490058,0.0055929540736365455,0.0025913201279594935,2197932284.2,465263534.2638836,215626616.50000006,0
Algeria,1978,9.214835701,47.5443218233421,4.844304696391681,2.966284114430343,3229638828.0,0,7.080087497799999,1.863778179167812,0.3653080365000006,47.10057000842926,0.30442213796579737,0.1415817813267295,4.7932509980352425,0.03497098124593885,0.016045091623596037,2.9579769303884893,0.005698655380547849,0.0026496082504547966,2538597744.0,474067453.39230895,220481698.70000008,0
Algeria,1979,7.477826551,49.01330102800611,5.006511218527093,2.9937601895164705,5517255565.0,0,7.076669267,1.8628426018248405,0.5693049093000003,47.4913196905797,0.9033441078437446,0.5118227678894879,4.8367522928797975,0.10110879762035535,0.05742325960268767,2.9652868243435,0.016901039165403406,0.00957639688192893,3147104618.2,1406758590.04706,797050297.9000002,0
Algeria,1980,0.790606972,8.975,2.398519327599319,0.526,7063796833.0,0,6.225722338800001,3.3781823515888165,-1.2973058458999989,39.948771803194624,17.332593000068478,-7.432515246322736,4.367312730429149,1.10405129361699,-0.45753387936157824,2.4804371301083528,1.0926619456457818,-0.48279247393709984,4180722089.4,2021666493.5698047,1204970198.5000002,0
Algeria,1981,2.999996088,10.286,2.492359643988711,-0.435,5914588650.0,0,5.148370259600001,3.3756580009659483,-1.2941408524999993,32.59052833787289,20.97630616563278,-11.22653594993745,3.9074526076841174,1.3373236917192004,-0.7052202384642501,1.8019284136498488,1.6390479867286936,-0.9227479643035202,4863194214.4,1884718252.3935826,1048195291.3000001,0
Algeria,1982,6.400004115,10.964,2.5316188658624172,-0.897,4972783276.0,0,5.3766538854000006,3.4232345994153435,-1.0107493634999993,25.35652457026964,20.943741552609602,-11.188794467469032,3.4546627504738447,1.3446946323426119,-0.7139523235596907,1.0308088607893626,1.851966318703325,-1.1155328418377155,5339612630.4,1407259643.9434688,388362198.09999996,0
Algeria,1983,5.400003025,11.823,2.536025375016171,-0.165,4010232279.0,0,4.613687350200001,2.7033523796426993,0.14537500910000026,18.212260205601222,17.249758075689858,-7.23916020560122,2.9930068861987422,1.1269398632624121,-0.48078721487587445,0.4045520379032941,1.5363937740269549,-0.774052037903294,5495731320.6,1130809031.9117606,-510506012.8999991,0
Algeria,1984,5.599996529,12.569,2.553216478737577,0.133,3185336009.0,0,4.238121345800001,2.307418453076963,1.2018786051000006,10.9234,1.3893765868180876,0.872500000000001,2.502347938240839,0.062166533950457896,0.03530600333039801,-0.16760000000000003,0.5419813649933007,-0.05160000000000008,5029347409.4,1530098829.0179226,-966127801.9000003,0
Algeria,1985,3.699997255,13.88,2.6317045383744953,1.529,4644533024.0,0,4.8199994024000015,1.414923274084067,0.05999947480000054,11.904399999999999,1.4013284054775752,0.8793000000000005,2.5489849803958746,0.051323466560608336,0.03002874016467302,0.03299999999999996,0.9180337684420989,0.49579999999999985,4545494647.6,1025102419.8543581,-432755851.8999996,0
Algeria,1986,0.400001003,15.824,2.915725689434393,-3.338,3842516472.0,0,4.3000003854000015,2.3916526913436784,-1.3700011993999992,13.012,1.901646786340294,1.1777000000000015,2.6336581894850104,0.1627735775047504,0.0863892810502278,-0.5476000000000001,1.7909689556215098,-0.3188,4131080212.0,700785842.921888,-162623286.2999995,0
Algeria,1987,-0.699997526,16.751,2.863916968542304,0.206,4343099115.0,0,2.880000057200001,2.8891161785776176,-1.7399996627999992,14.169400000000001,2.0948141445002744,1.3111000000000015,2.700117810020988,0.17783674120766557,0.10182923977490833,-0.32700000000000007,1.8050477833010408,-0.2729,4005143379.8,552627978.2363641,132291413.5000005,0
Algeria,1988,-1.000005491,17.746,3.029519267602183,-3.389,3190542199.0,0,1.5999983540000007,2.9111842722783456,-1.7599998820999998,15.354,2.110869133792634,1.3225,2.79881658853819,0.199609227442218,0.11848180078970237,-0.9718,2.2529733021054645,-0.8367000000000001,3841205363.8,661581731.6730509,-29102152.899999853,1
Algeria,1989,4.400002161,19.373,3.084768882753436,-1.811,3085702760.0,0,1.3599994804000006,2.5224994594255126,3.3179999983752293e-07,16.7148,2.0591458666152156,1.2908000000000013,2.9051270693413622,0.17629172109758767,0.10199222669256727,-1.3606000000000003,2.1812497106017004,-0.6731000000000001,3821278714.0,687276466.8704296,-376963480.0999999,1
Algeria,1990,0.80000058,21.17,3.0556733634991433,2.01,2703474408.0,0,0.7800001454000006,2.156851126730937,0.5899998841,18.172800000000002,2.1298017982898294,1.3314000000000006,2.9899208343662917,0.09522273496780895,0.05007472623406362,-1.2644000000000002,2.345009872047451,0.8678999999999999,3433066990.8,653374483.945578,-353548048.29999965,1
Algeria,1991,-1.200000586,26.652,3.3518024160127826,4.719,3459969141.0,1,0.4599998276000007,2.33837709013545,0.07999999510000007,20.3384,3.907527261580996,2.322600000000001,3.0771361796819696,0.17584812646843498,0.10019249908379213,0.3470000000000001,3.182549842500507,1.4424999999999997,3356557524.6,614694887.937095,-225332773.89999956,1
Algeria,1992,1.800002303,35.101,7.066943015,2.415,3317517177.0,1,0.9599997934000006,2.29521472891974,1.2841000003712273e-06,24.0084,7.049742853466273,4.198900000000002,3.9177413889735093,1.765198346931651,0.834188102805498,0.7888000000000001,3.3089009051345135,1.8137999999999996,3151441137.0,286921329.7514632,62821633.70000012,1
Algeria,1993,-2.100000757,42.297,6.467719977,1.464,3655668338.0,1,0.7400007402000007,2.5667112880069096,-1.2000004113,28.918600000000005,9.663079390132264,5.977899999999999,4.605381530853072,1.988272381674629,1.0777171839993986,1.7594,2.3498330366219644,0.6955000000000005,3244466364.8,366995609.6494713,175397392.50000015,1
Algeria,1994,-0.899996553,54.563,6.51702224,-3.993,4813488033.0,1,-0.31999900259999925,1.5833517290619072,-0.4299994437000001,35.9566,13.1562719377489,8.243100000000002,5.291832202302385,1.923469716980328,1.0038615313988934,1.323,3.220131441416639,-1.5260999999999993,3590023419.4,771089786.1405038,441572644.70000005,1
