Model,Train_AUC,Test_AUC,CV_AUC_Mean,CV_AUC_Std,Overfitting_Gap
Logistic Regression,0.8519979108399861,0.8652667814113597,0.8469589461541631,0.006859249320989579,-0.013268870571373603
Gradient Boosting,0.9412081615824953,0.9112151462994836,0.899678821960802,0.008492596758387929,0.02999301528301168
