Cluster,gdp_growth_mean5,gdp_growth_std5,gdp_growth_trend5,inflation_mean5,inflation_std5,inflation_trend5,domestic_credit_mean5,domestic_credit_std5,domestic_credit_trend5,current_account_mean5,current_account_std5,current_account_trend5,total_reserves_mean5,total_reserves_std5,total_reserves_trend5
0,-0.5187855844872042,0.49578136198895073,-0.6462901778551243,-0.08530363972808014,-0.07833086890764994,-0.05783619778738231,0.3379719994868948,3.5026797683795285,-1.0222003943407938,-0.21884184945712187,0.834764813923572,0.1981875679335727,-0.16243703615866642,-0.1308635675628246,-0.08904776578520905
1,0.37812346834896,2.360705092892195,0.42280545167167277,0.0883836836832305,1.4672753787575212,-1.4089075766764692,-0.08336976775517799,-0.40119765579037464,-0.12353819349883123,-0.5585067062921628,4.8589538603254,-0.9324420778196809,2.2138529160534324,0.022651034791832784,-0.2985829069388338
2,1.3042279197464584,-0.06851986285973018,0.05228310415146336,2.703444100482752,0.8710573319733448,-0.15902522184898663,-0.09092950853352988,-0.6142469480645688,-0.15484335230353494,-0.04299577448372335,-0.7247994788627453,-0.09335310762670095,-0.2031791323822818,-0.16661608726993654,-0.0952724935466036
3,-0.1098748691200145,0.7537233393176925,0.10771372257454205,-0.08563671004060554,-0.08314240870326059,-0.06159204984792226,-0.6784880778057086,-0.24265809949663808,-0.38143243809882404,-0.47628933146455354,0.6784782547433473,0.0629129767602382,-0.2052705910909408,-0.18367069346385304,-0.10831432105610625
4,0.260830824300727,-0.10224086959303191,0.024513192187582834,-0.08563707429067684,-0.08314709663128006,-0.061595968606166854,-0.390157622683865,-0.40874676121369335,-0.08484071341365845,-0.23061023704677383,-0.4157593287325483,-0.021698658079707715,-0.2158409083457882,-0.1949265262241989,-0.1159247970315607
5,-0.3340832759181976,-0.23154287102163293,-0.016671529306559515,10.813374402445108,10.452635788634279,10.724325670478276,-0.16875397266436334,0.6653653808549467,-0.22993193526069647,-0.03608221951975116,-0.23952912568818716,-0.15583004730974254,0.5554475995381845,0.6078463876222451,0.5771923893078663
6,-0.09787235808599865,-0.3854155816955894,-0.08133788176975928,-0.08563707303087777,-0.08314707963278158,-0.061595954907942896,0.42609309471538126,0.13047905312162045,0.4940341440932867,0.17000390502526977,-0.2761892567757556,-0.0978682238569162,-0.1072810727651129,-0.10360250190072667,-0.05102511842762219
7,-0.16471777595908949,-0.05436102435416618,0.08029056163540194,-0.08563707425301405,-0.08314709661067832,-0.06159596849884948,0.5537702774932369,0.1723342066956888,0.01535275916375549,0.5760593030930296,0.2910944945314518,0.1317754035868806,0.1140441324639351,0.10570143468758776,0.059921383098930726
8,2.370950892499441,-0.5124079341778381,-0.2493088199938876,-0.08563707425631469,-0.08314709662457197,-0.0615959685921317,1.036211811417023,0.8654962623897525,0.983098700365769,1.4306855394181535,0.2676336904683364,-0.32928556704816386,12.724670673063535,15.861712185217463,16.721407918459374
9,-0.37178226540792303,-0.3597355210341499,-0.05557963151840892,-0.0856370742531665,-0.08314709661919731,-0.06159596860542888,0.9147632334285946,0.16053717336604442,-0.10981835987043191,0.6613498754308862,-0.19886119480319212,0.0203763604773491,2.3357723336103735,2.177170654183498,0.7135800065960433
