feature,coefficient,abs_coefficient
total_reserves_trend5,-1.6555901378554534,1.6555901378554534
total_reserves_std5,-1.5730051322705723,1.5730051322705723
domestic_credit_mean5,-1.3542151828949651,1.3542151828949651
inflation_mean5,-0.8039737969330205,0.8039737969330205
gdp_growth_mean5,-0.49208337504962346,0.49208337504962346
inflation_std5,0.48226797816086275,0.48226797816086275
total_reserves_mean5,-0.4815598773868637,0.4815598773868637
current_account_std5,0.4625866284949434,0.4625866284949434
inflation_trend5,-0.404930608574366,0.404930608574366
gdp_growth_std5,0.3145385851469898,0.3145385851469898
domestic_credit_std5,-0.24901965472046653,0.24901965472046653
domestic_credit_trend5,-0.20569689670229938,0.20569689670229938
current_account_mean5,-0.18955315974415096,0.18955315974415096
gdp_growth_trend5,-0.12912321480510805,0.12912321480510805
current_account_trend5,0.10042959296258042,0.10042959296258042
